"","gender","race.ethnicity","parental.level.of.education","lunch","test.preparation.course","math.score","reading.score","writing.score","science.score"
"1","female","group B","bachelor's degree","standard","none",88.8,86.5060240963855,88.4444444444444,84.4380762537271
"2","female","group C","some college","standard","completed",87.6,95.1807228915663,94.6666666666667,62.9117988757015
"3","female","group B","master's degree","standard","none",96,97.5903614457831,96.8888888888889,58.7401158579018
"4","male","group A","associate's degree","free/reduced","none",78.8,79.2771084337349,75.1111111111111,79.2611403787204
"5","male","group C","some college","standard","none",90.4,89.3975903614458,88.8888888888889,87.8335404248777
"6","female","group B","associate's degree","standard","none",88.4,91.8072289156626,90.2222222222222,63.7205403573245
"7","female","group B","some college","standard","completed",95.2,97.5903614457831,96.4444444444444,59.328157317412
"8","male","group B","some college","free/reduced","none",76,72.5301204819277,72.8888888888889,67.9332687380187
"9","male","group D","high school","free/reduced","completed",85.6,82.6506024096386,85.3333333333333,86.5703634714141
"10","female","group B","high school","free/reduced","none",75.2,80.7228915662651,77.7777777777778,90.5919706695864
"11","male","group C","associate's degree","standard","none",83.2,77.8313253012048,78.6666666666667,76.5870008854754
"12","male","group D","associate's degree","standard","none",76,76.8674698795181,74.6666666666667,78.2356724014347
"13","female","group B","high school","standard","none",86,90.8433734939759,88,65.7136606001739
"14","male","group A","some college","standard","completed",91.2,86.5060240963855,86.6666666666667,86.279075209223
"15","female","group A","master's degree","standard","none",80,77.3493975903614,81.3333333333333,100
"16","female","group C","some high school","standard","none",87.6,87.9518072289157,90.2222222222222,77.5701018207662
"17","male","group C","high school","standard","none",95.2,94.6987951807229,93.7777777777778,97.4764599561077
"18","female","group B","some high school","free/reduced","none",67.2,67.2289156626506,68,99.8815212934338
"19","male","group C","master's degree","free/reduced","completed",78.4,72.0481927710843,76,74.0320050590686
"20","female","group C","associate's degree","free/reduced","none",81.6,79.7590361445783,82.6666666666667,90.1580221181999
"21","male","group D","high school","standard","none",86.4,85.0602409638554,83.5555555555556,84.6332509596959
"22","female","group B","some college","free/reduced","completed",86,87.9518072289157,86.6666666666667,71.9865494896697
"23","male","group D","some college","standard","none",77.6,77.8313253012048,79.1111111111111,79.971182742023
"24","female","group C","some high school","standard","none",87.6,86.9879518072289,88,72.9442230943669
"25","male","group D","bachelor's degree","free/reduced","completed",89.6,86.0240963855422,91.1111111111111,87.5223970223324
"26","male","group A","master's degree","free/reduced","none",89.2,87.4698795180723,87.5555555555556,89.5312850610768
"27","male","group B","some college","standard","none",87.6,77.8313253012048,80,77.820581571674
"28","female","group C","bachelor's degree","standard","none",86.8,85.0602409638554,88.8888888888889,80.7903396815442
"29","male","group C","high school","standard","none",88,85.5421686746988,84.4444444444444,85.2832900087452
"30","female","group D","master's degree","standard","none",84.8,85.5421686746988,88.8888888888889,84.1615343974897
"31","female","group D","some college","standard","none",87.6,87.4698795180723,88.4444444444444,75.5802041553236
"32","female","group B","some college","standard","none",85.2,83.1325301204819,82.6666666666667,79.5585930778264
"33","female","group E","master's degree","free/reduced","none",82.4,86.5060240963855,84.4444444444444,66.7111674815825
"34","male","group D","some college","standard","none",76,72.0481927710843,72.4444444444444,74.1894021708476
"35","male","group E","some college","standard","none",98.8,93.7349397590361,92,97.4603852872889
"36","male","group E","associate's degree","standard","completed",92.4,90.8433734939759,90.6666666666667,87.9176580813953
"37","female","group D","associate's degree","standard","none",89.6,90.8433734939759,92.4444444444444,80.7395255407075
"38","female","group D","some high school","free/reduced","none",80,82.6506024096386,81.7777777777778,89.8629239762919
"39","female","group D","associate's degree","free/reduced","completed",90,95.1807228915663,94.6666666666667,64.8963425806237
"40","male","group B","associate's degree","free/reduced","none",82.8,78.7951807228916,80.8888888888889,71.3402322269933
"41","male","group C","associate's degree","free/reduced","none",82,81.2048192771084,79.5555555555556,82.6576442354724
"42","female","group C","associate's degree","standard","none",83.2,86.9879518072289,85.7777777777778,74.8351716516816
"43","female","group B","associate's degree","standard","none",81.2,79.7590361445783,84.4444444444444,88.6784919015042
"44","male","group B","some college","free/reduced","completed",83.6,83.1325301204819,84.8888888888889,77.6499283831218
"45","female","group E","associate's degree","free/reduced","none",80,78.7951807228916,79.5555555555556,85.1320707615722
"46","male","group B","associate's degree","standard","none",86,77.8313253012048,80.8888888888889,78.9431022906972
"47","female","group A","associate's degree","standard","completed",82,83.1325301204819,83.1111111111111,84.3283842577821
"48","female","group C","high school","standard","none",86.4,86.0240963855422,89.3333333333333,76.1842509932404
"49","female","group D","associate's degree","free/reduced","completed",82.8,87.4698795180723,89.3333333333333,73.237507467508
"50","male","group C","high school","standard","completed",92.8,92.289156626506,92,95.5841279831908
"51","male","group E","some college","standard","none",81.2,78.3132530120482,76.8888888888889,74.7206372077983
"52","male","group E","associate's degree","free/reduced","completed",90.8,85.0602409638554,85.7777777777778,87.8446017290417
"53","male","group C","some college","standard","none",81.2,73.0120481927711,74.2222222222222,80.2327503922948
"54","male","group D","high school","standard","none",95.2,89.3975903614458,88.8888888888889,87.5282106301906
"55","female","group C","some high school","free/reduced","completed",88.4,92.289156626506,94.2222222222222,62.7000226795192
"56","female","group C","high school","free/reduced","none",73.2,71.566265060241,74.6666666666667,100
"57","female","group E","associate's degree","standard","completed",92.8,92.7710843373494,93.7777777777778,63.5511743258288
"58","male","group D","associate's degree","standard","none",80.8,78.3132530120482,77.3333333333333,73.026377581273
"59","male","group D","some college","standard","completed",83.2,80.2409638554217,81.3333333333333,74.6383516308034
"60","female","group C","some high school","free/reduced","none",60,60,60,100
"61","male","group E","bachelor's degree","free/reduced","completed",91.6,87.4698795180723,87.5555555555556,84.2167237901177
"62","male","group A","some high school","free/reduced","none",75.6,70.6024096385542,70.6666666666667,72.7312089772463
"63","male","group A","associate's degree","free/reduced","none",84.8,81.2048192771084,80,84.2487424396279
"64","female","group C","associate's degree","standard","none",87.6,90.3614457831325,87.1111111111111,62.1523786465619
"65","female","group D","some high school","standard","none",83.6,79.7590361445783,81.7777777777778,89.5223080431861
"66","male","group B","some high school","standard","none",86.8,82.6506024096386,82.6666666666667,83.043818865703
"67","male","group D","some high school","free/reduced","none",78,69.6385542168675,72,65.9037937495063
"68","female","group C","some college","standard","none",84,86.5060240963855,88.4444444444444,74.1531901989082
"69","male","group B","associate's degree","free/reduced","none",84.4,79.7590361445783,80.4444444444444,79.1987144517709
"70","female","group C","associate's degree","standard","none",75.6,82.6506024096386,80.8888888888889,82.3162344086328
"71","female","group D","some college","free/reduced","completed",83.2,82.1686746987952,88,93.5661477247822
"72","male","group D","some college","standard","completed",85.2,78.3132530120482,83.5555555555556,82.5830784021079
"73","female","group A","associate's degree","free/reduced","none",76.4,76.3855421686747,76.8888888888889,100
"74","male","group C","some high school","free/reduced","none",84.4,79.2771084337349,80.4444444444444,74.3614487248122
"75","male","group C","some high school","standard","none",79.6,75.4216867469879,73.7777777777778,73.090170522424
"76","male","group B","associate's degree","free/reduced","none",77.6,71.566265060241,72.4444444444444,67.5840300441565
"77","male","group E","some high school","standard","none",72,64.3373493975904,65.3333333333333,58.0673720524162
"78","male","group A","bachelor's degree","standard","completed",92,89.3975903614458,91.5555555555556,85.2694510554828
"79","female","group D","some high school","standard","completed",84.4,87.4698795180723,87.5555555555556,80.2962821225695
